index,name,trips,lat,lon,trips_scaled
2023,Canary Wharf - Limehouse,31137,"(51.50414, 51.5121)","(-0.0204, -0.03294)",0.11966915721181932
3805,Hammersmith - Putney,31066,"(51.48948, 51.46188)","(-0.22358, -0.2143)",0.11939627340651231
3782,Hammersmith - Knightsbridge,30973,"(51.48948, 51.49808)","(-0.22358, -0.16788)",0.1190388340558989
5945,Shepherd's Bush - West Kensington,30955,"(51.50309, 51.4876)","(-0.21891, -0.20617)",0.11896965224610276
1259,Bethnal Green - Queen Elizabeth Olympic Park,30937,"(51.52744, 51.54529)","(-0.05739, -0.01581)",0.11890047043630661
3862,Holborn - Mayfair,30907,"(51.51776, 51.50988)","(-0.11324, -0.1479)",0.1187851674199797
1959,Camden Town - Somers Town,30895,"(51.53821, 51.52907)","(-0.14134, -0.13026)",0.11873904621344894
1667,Bow - Shoreditch,30848,"(51.5255, 51.52416)","(-0.02317, -0.07619)",0.11855840482120346
3903,Holborn - Vauxhall,30809,"(51.51776, 51.49028)","(-0.11324, -0.1185)",0.11840851089997848
4964,Mile End - Poplar,30566,"(51.52326, 51.51362)","(-0.03619, -0.01592)",0.11747455646773053
40,Aldgate - Holborn,30561,"(51.51398, 51.51776)","(-0.07464, -0.11324)",0.1174553392983427
4901,Mayfair - Notting Hill,30445,"(51.50988, 51.51034)","(-0.1479, -0.19818)",0.11700950096854533
3538,Guildhall - Waterloo,30363,"(51.51718, 51.50095)","(-0.09211, -0.11342)",0.11669433939058513
4062,Hoxton - Whitechapel,30293,"(51.53134, 51.51808)","(-0.08565, -0.06597)",0.11642529901915567
1500,Bloomsbury - Westminster,30238,"(51.52292, 51.49676)","(-0.12635, -0.13301)",0.11621391015588968
1431,Bloomsbury - Hoxton,30177,"(51.52292, 51.53134)","(-0.12635, -0.08565)",0.1159794606893583
6083,South Bank - St. Paul's,30164,"(51.50561, 51.51356)","(-0.1129, -0.0994)",0.11592949604894998
3817,Hammersmith - South Kensington,30160,"(51.48948, 51.49441)","(-0.22358, -0.17807)",0.11591412231343971
3400,Fulham - Kensington,30103,"(51.47634, 51.50034)","(-0.21127, -0.19268)",0.1156950465824186
1476,Bloomsbury - St. Luke's,30019,"(51.52292, 51.52613)","(-0.12635, -0.0929)",0.11537219813670326
4400,Kensington Gardens - Westminster,29987,"(51.506, 51.49676)","(-0.18487, -0.13301)",0.11524920825262122
2576,Covent Garden - Marylebone,29963,"(51.51554, 51.51948)","(-0.12301, -0.15783)",0.1151569658395597
14,Aldgate - Bow,29929,"(51.51398, 51.5255)","(-0.07464, -0.02317)",0.11502628908772253
145,Angel - Finsbury,29925,"(51.53324, 51.52687)","(-0.10652, -0.10235)",0.11501091535221228
168,Angel - Marylebone,29828,"(51.53324, 51.51948)","(-0.10652, -0.15783)",0.11463810226608862
4088,Hyde Park - Pimlico,29636,"(51.50562, 51.48891)","(-0.16149, -0.13785)",0.11390016296159641
4967,Mile End - Queen Elizabeth Olympic Park,29509,"(51.52326, 51.54529)","(-0.03619, -0.01581)",0.11341204685914583
4352,Kensington Gardens - Notting Hill,29504,"(51.506, 51.51034)","(-0.18487, -0.19818)",0.11339282968975802
3282,Finsbury - St. Luke's,29276,"(51.52687, 51.52613)","(-0.10235, -0.0929)",0.11251652676567352
6032,Soho - Victoria,29255,"(51.5134, 51.49382)","(-0.13325, -0.14285)",0.11243581465424468
722,Battersea - Nine Elms,29187,"(51.47151, 51.48107)","(-0.16366, -0.1387)",0.11217446115057036
4410,King's Cross - Mayfair,29176,"(51.53367, 51.50988)","(-0.12209, -0.1479)",0.11213218337791717
4944,Mayfair - Waterloo,29151,"(51.50988, 51.50095)","(-0.1479, -0.11342)",0.11203609753097807
445,Bank - Westminster,29048,"(51.5128, 51.49676)","(-0.09163, -0.13301)",0.11164022384158903
4449,King's Cross - The Regent's Park,29007,"(51.53367, 51.53038)","(-0.12209, -0.15448)",0.11148264305260892
541,Bankside - Vauxhall,28924,"(51.50618, 51.49028)","(-0.09824, -0.1185)",0.11116363804077115
4105,Hyde Park - St. James's,28897,"(51.50562, 51.50703)","(-0.16149, -0.1332)",0.11105986532607692
421,Bank - St. Luke's,28887,"(51.5128, 51.52613)","(-0.09163, -0.0929)",0.11102143098730129
6149,Southwark - Vauxhall,28809,"(51.50394, 51.49028)","(-0.10448, -0.1185)",0.11072164314485133
301,Avondale - Shepherd's Bush,28746,"(51.51154, 51.50309)","(-0.21514, -0.21891)",0.11047950681056483
3331,Fitzrovia - Mayfair,28524,"(51.51986, 51.50988)","(-0.13867, -0.1479)",0.10962626448974572
6131,South Kensington - West Brompton,28425,"(51.49441, 51.48486)","(-0.17807, -0.18634)",0.10924576453586693
605,Barbican - Liverpool Street,28252,"(51.52011, 51.51883)","(-0.09512, -0.08165)",0.10858085047504842
6434,Victoria - West End,28238,"(51.49382, 51.50988)","(-0.14285, -0.13306)",0.10852704240076254
632,Barbican - Shoreditch,28226,"(51.52011, 51.52416)","(-0.09512, -0.07619)",0.10848092119423178
1226,Bethnal Green - Holborn,28181,"(51.52744, 51.51776)","(-0.05739, -0.11324)",0.1083079666697414
2109,Chelsea - Hyde Park,28078,"(51.48862, 51.50562)","(-0.16723, -0.16149)",0.10791209298035237
5496,Paddington - Victoria,28032,"(51.51778, 51.49382)","(-0.17339, -0.14285)",0.10773529502198444
6405,Tower - Westminster,28021,"(51.50894, 51.49676)","(-0.07437, -0.13301)",0.10769301724933124
4247,Kennington - Stockwell,27973,"(51.48872, 51.4741)","(-0.10729, -0.11947)",0.1075085324232082
92,Aldgate - Strand,27963,"(51.51398, 51.51027)","(-0.07464, -0.12048)",0.10747009808443256
2049,Canary Wharf - Shadwell,27902,"(51.50414, 51.51053)","(-0.0204, -0.05564)",0.10723564861790118
2513,Clerkenwell - Soho,27863,"(51.5262, 51.5134)","(-0.10962, -0.13325)",0.1070857546966762
4315,Kensington - Strand,27840,"(51.50034, 51.51027)","(-0.19268, -0.12048)",0.10699735571749223
5134,Moorgate - Shoreditch,27694,"(51.5203, 51.52416)","(-0.08794, -0.07619)",0.10643621437136795
6400,Tower - Waterloo,27684,"(51.50894, 51.50095)","(-0.07437, -0.11342)",0.10639778003259232
6411,Vauxhall - Walworth,27613,"(51.49028, 51.48986)","(-0.1185, -0.09434)",0.1061248962272853
117,Angel - Barbican,27532,"(51.53324, 51.52011)","(-0.10652, -0.09512)",0.10581357808320266
6031,Soho - Vauxhall,27481,"(51.5134, 51.49028)","(-0.13325, -0.1185)",0.10561756295544691
1179,Bermondsey - Tower,27453,"(51.49718, 51.50894)","(-0.073, -0.07437)",0.10550994680687513
6043,Soho - West End,27446,"(51.5134, 51.50988)","(-0.13325, -0.13306)",0.1054830427697322
1196,Bermondsey - Whitechapel,27441,"(51.49718, 51.51808)","(-0.073, -0.06597)",0.10546382560034437
6530,West Chelsea - West Kensington,27432,"(51.48226, 51.4876)","(-0.17975, -0.20617)",0.1054292346954463
1188,Bermondsey - Wapping,27428,"(51.49718, 51.50669)","(-0.073, -0.06397)",0.10541386095993605
5974,Shoreditch - Wapping,27372,"(51.52416, 51.50669)","(-0.07619, -0.06397)",0.10519862866279249
2168,Chelsea - Wandsworth,27312,"(51.48862, 51.45998)","(-0.16723, -0.19446)",0.10496802263013867
1445,Bloomsbury - Mayfair,27308,"(51.52292, 51.50988)","(-0.12635, -0.1479)",0.10495264889462841
123,Angel - Bethnal Green,27205,"(51.53324, 51.52744)","(-0.10652, -0.05739)",0.10455677520523937
1162,Bermondsey - Shoreditch,27166,"(51.49718, 51.52416)","(-0.073, -0.07619)",0.10440688128401439
4433,King's Cross - Shoreditch,26959,"(51.53367, 51.52416)","(-0.12209, -0.07619)",0.10361129047135872
3924,Holland Park - Kensington,26937,"(51.50396, 51.50034)","(-0.21031, -0.19268)",0.10352673492605233
6325,Strand - Wapping,26812,"(51.51027, 51.50669)","(-0.12048, -0.06397)",0.10304630569135688
2273,Clapham Common - Clapham Junction,26752,"(51.46137, 51.46406)","(-0.14878, -0.17169)",0.10281569965870307
5914,Shadwell - Whitechapel,26720,"(51.51053, 51.51808)","(-0.05564, -0.06597)",0.10269270977462104
5577,Pimlico - Stockwell,26683,"(51.48891, 51.4741)","(-0.13785, -0.11947)",0.10255050272115118
6518,Waterloo - West End,26682,"(51.50095, 51.50988)","(-0.11342, -0.13306)",0.10254665928727362
4441,King's Cross - St. Luke's,26617,"(51.53367, 51.52613)","(-0.12209, -0.0929)",0.10229683608523199
848,Battersea Park - Sloane Square,26589,"(51.47738, 51.49313)","(-0.1542, -0.15688)",0.1021892199366602
4481,Knightsbridge - Notting Hill,26544,"(51.49808, 51.51034)","(-0.16788, -0.19818)",0.10201626541216985
4933,Mayfair - The Regent's Park,26543,"(51.50988, 51.53038)","(-0.1479, -0.15448)",0.10201242197829229
717,Battersea - Mayfair,26422,"(51.47151, 51.50988)","(-0.16366, -0.1479)",0.10154736647910709
3902,Holborn - Tower,26378,"(51.51776, 51.50894)","(-0.11324, -0.07437)",0.10137825538849429
6314,Strand - Temple,26350,"(51.51027, 51.5121)","(-0.12048, -0.10936)",0.10127063923992251
1441,Bloomsbury - Liverpool Street,26332,"(51.52292, 51.51883)","(-0.12635, -0.08165)",0.10120145743012637
2134,Chelsea - Parson's Green,26324,"(51.48862, 51.47204)","(-0.16723, -0.20051)",0.10117070995910586
3381,Fitzrovia - Waterloo,26302,"(51.51986, 51.50095)","(-0.13867, -0.11342)",0.10108615441379946
3833,Hammersmith - Walham Green,26239,"(51.48948, 51.47731)","(-0.22358, -0.19283)",0.10084401807951296
4887,Marylebone - Waterloo,26237,"(51.51948, 51.50095)","(-0.15783, -0.11342)",0.10083633121175783
824,Battersea Park - Mayfair,26222,"(51.47738, 51.50988)","(-0.1542, -0.1479)",0.10077867970359437
6241,St. Paul's - Westminster,26194,"(51.51356, 51.49676)","(-0.0994, -0.13301)",0.1006710635550226
3041,Elephant & Castle - Strand,26187,"(51.49684, 51.51027)","(-0.10327, -0.12048)",0.10064415951787965
6122,South Kensington - Victoria,26123,"(51.49441, 51.49382)","(-0.17807, -0.14285)",0.10039817974971559
3845,Hammersmith - White City,26041,"(51.48948, 51.51196)","(-0.22358, -0.22494)",0.10008301817175537
6431,Victoria - Waterloo,25981,"(51.49382, 51.50095)","(-0.14285, -0.11342)",0.09985241213910155
3235,Finsbury - Holborn,25971,"(51.52687, 51.51776)","(-0.10235, -0.11324)",0.09981397780032591
